condition,humanbody-other,animals-other,faces-other,flora-other,objects-other,places-other,geometry-other,edge-other,photo-other,humanbody_geometry-humanbody_other,humanbody_edge-humanbody_other,humanbody_photo-humanbody_other,animals_geometry-animals_other,animals_edge-animals_other,animals_photo-animals_other,faces_geometry-faces_other,faces_edge-faces_other,faces_photo-faces_other,flora_geometry-flora_other,flora_edge-flora_other,flora_photo-flora_other,objects_geometry-objects_other,objects_edge-objects_other,objects_photo-objects_other,places_geometry-places_other,places_edge-places_other,places_photo-places_other,response
humanbody_geometry,5,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,,,,,,,,,,,,,,,,
humanbody_edge,5,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,,,,,,,,,,,,,,,,
humanbody_photo,5,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,,,,,,,,,,,,,,,,
animals_geometry,-1,5,-1,-1,-1,-1,2,-1,-1,,,,2,-1,-1,,,,,,,,,,,,,
animals_edge,-1,5,-1,-1,-1,-1,-1,2,-1,,,,-1,2,-1,,,,,,,,,,,,,
animals_photo,-1,5,-1,-1,-1,-1,-1,-1,2,,,,-1,-1,2,,,,,,,,,,,,,
faces_geometry,-1,-1,5,-1,-1,-1,2,-1,-1,,,,,,,2,-1,-1,,,,,,,,,,
faces_edge,-1,-1,5,-1,-1,-1,-1,2,-1,,,,,,,-1,2,-1,,,,,,,,,,
faces_photo,-1,-1,5,-1,-1,-1,-1,-1,2,,,,,,,-1,-1,2,,,,,,,,,,
flora_geometry,-1,-1,-1,5,-1,-1,2,-1,-1,,,,,,,,,,2,-1,-1,,,,,,,
flora_edge,-1,-1,-1,5,-1,-1,-1,2,-1,,,,,,,,,,-1,2,-1,,,,,,,
flora_photo,-1,-1,-1,5,-1,-1,-1,-1,2,,,,,,,,,,-1,-1,2,,,,,,,
objects_geometry,-1,-1,-1,-1,5,-1,2,-1,-1,,,,,,,,,,,,,2,-1,-1,,,,
objects_edge,-1,-1,-1,-1,5,-1,-1,2,-1,,,,,,,,,,,,,-1,2,-1,,,,
objects_photo,-1,-1,-1,-1,5,-1,-1,-1,2,,,,,,,,,,,,,-1,-1,2,,,,
places_geometry,-1,-1,-1,-1,-1,5,2,-1,-1,,,,,,,,,,,,,,,,2,-1,-1,
places_edge,-1,-1,-1,-1,-1,5,-1,2,-1,,,,,,,,,,,,,,,,-1,2,-1,
places_photo,-1,-1,-1,-1,-1,5,-1,-1,2,,,,,,,,,,,,,,,,-1,-1,2,
response,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
