subject,ses-00,ses-01,ses-02,ses-03,ses-04,ses-05,ses-06,ses-07,ses-08,ses-09,ses-10,ses-11,ses-12,ses-13,ses-14,ses-15,ses-16,ses-17,ses-18,ses-19,ses-20,ses-21,ses-22,ses-23,ses-24
sub-01,screening,old_anat1,old_anat2,hcp1,hcp2,rsvp-language,clips1,archi,clips2,clips3,anat1,clips4,anat1,anat2,mtt1,mtt2,raiders1,raiders2,tom,preferences,enumeration,relaxo,lyon1,,
sub-02,screening,archi,old_anat1,old_anat2,hcp1,hcp2,rsvp-language,clips1,clips2,clips3,,,,,,,,,,,,,,,
sub-04,screening,hcp1,hcp2,rsvp-language,archi,clips1,clips2,clips3,anat1,clips4,anat2,mtt1,mtt2,raiders1,raiders2,preferences,tom,enumeration,lyon1,lyon2,relaxo,,,,
sub-05,screening,hcp1,hcp2,rsvp-language,archi,clips1,clips2,clips3,anat1,clips4,anat2,mtt1,mtt2,raiders1,raiders2,preferences,tom,enumeration,lyon1,lyon2,self,audio1,relaxo,audio2,
sub-06,screening,hcp1,hcp2,rsvp-language,archi,clips1,clips2,clips3,clips4,anat1,anat2,mtt1,mtt2,raiders1,raiders2,preferences,tom,enumeration,lyon1,lyon2,relaxo,self,audio1,audio2,
sub-07,screening,hcp1,hcp2,rsvp-language,archi,clips1,clips2,clips3,clips4,anat1,anat2,mtt1,mtt2,mtt2,raiders1,raiders2,preferences,tom,enumeration,lyon1,lyon2,relaxo,audio1,audio2,self
sub-08,screening,archi,hcp1,hcp2,rsvp-language,clips1,clips2,clips3,clips4,anat1,anat2,mtt1,,,,,,,,,,,,,
sub-09,screening,hcp1,hcp2,old_anat1,rsvp-language,archi,clips1,clips2,clips3,anat1,clips4,anat2,mtt1,mtt2,raiders1,raiders2,preferences,tom,enumeration,relaxo,lyon1,self,audio1,audio2,
sub-11,screening,hcp1,hcp2,rsvp-language,clips1,archi,clips2,clips3,clips4,anat1,anat2,mtt1,mtt2,raiders1,raiders1,raiders2,preferences,relaxo,tom,enumeration,lyon1,lyon2,self,audio1,audio2
sub-12,screening,hcp1,hcp2,archi,rsvp-language,clips1,clips2,clips3,clips4,anat1,anat2,mtt1,mtt2,raiders1,raiders1,raiders2,preferences,relaxo,tom,enumeration,lyon1,lyon2,self,audio1,audio2
sub-13,screening,hcp1,hcp2,rsvp-language,archi,clips1,clips2,clips3,clips4,anat1,anat2,mtt1,mtt2,raiders1,raiders2,preferences,tom,lyon1,lyon2,relaxo,self,audio1,audio2,,
sub-14,screening,archi,hcp1,hcp2,rsvp-language,anat1,anat2,clips1,clips2,clips3,clips4,mtt1,mtt2,preferences,raiders1,raiders2,tom,enumeration,lyon1,lyon2,relaxo,self,audio1,audio2,
sub-15,screening,archi,hcp1,hcp2,rsvp-language,tom,clips1,clips2,clips3,enumeration,clips4,anat1,anat2,mtt1,mtt2,raiders1,,,,,,,,,
